START_WHITE,START_BLACK ,START_RED,ALBEDO_WHITE,ALBEDO_BLACK,ALBEDO_RED,ALBEDO_GROUND,LUMINOSITY,SENCERIO
0.2,0.2,0.2,0.75,0.25,0.5,0.4,0.8,STABLE
TICK,WHITE_DAISY_POPULATION,BLACK_DAISY_POPULATION,RED_DAISY_POPULATION,TOTAL_POPULATION,GLOBAL_TEMPERATURE
183,0,309,527,836,20.347447380094973
184,0,312,526,838,20.212598650256695
185,0,313,524,837,20.18614462796559
186,0,320,518,838,20.207098683483366
187,0,320,516,836,20.358326606106413
188,0,318,521,839,20.458569710362646
189,0,323,516,839,20.428014557691824
190,0,325,513,838,20.52206945731107
191,0,325,514,839,20.625144468974938
192,0,322,513,835,20.664367403334488
193,0,324,514,838,20.667637670830963
194,0,321,513,834,20.676062080543957
195,0,320,519,839,20.66393308571715
196,0,314,523,837,20.574429235750905
197,0,311,527,838,20.423107482566955
198,0,311,526,837,20.269532548929817
199,0,309,529,838,20.205059653583586
200,0,313,526,839,20.11677564405627
